eventname,outcome,type,compiledgametime,playsection,zone,manpowersituation,goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
reception,failed,regular,368.97,eastOuterSlot,oz,powerPlay,0,311,370192,80264,57.02242661,15.84411812
pass,successful,south,371.27,eastPoint,oz,powerPlay,0,311,370192,80264,37.9106636,37.97352982
reception,successful,regular,371.97,centerPoint,oz,powerPlay,0,311,94531,80264,32.37831116,1.761764526
pass,successful,north,372.87,centerPoint,oz,powerPlay,0,311,94531,80264,34.893013,2.264705658
reception,successful,regular,373.50,eastPoint,oz,powerPlay,0,311,370192,80264,36.40184021,25.90294075
pass,successful,slot,375.67,outsideNorthEast,oz,powerPlay,0,311,370192,80264,69.09301758,33.95000076
reception,successful,regular,376.23,eastOuterSlot,oz,powerPlay,0,311,112050,80264,68.59007263,16.34705925
pass,successful,slot,376.57,eastOuterSlot,oz,powerPlay,0,311,112050,80264,71.1047821,16.34705925
reception,successful,regular,377.27,westOuterSlot,oz,powerPlay,0,311,111452,80264,68.59007263,-20.87059021
shot,failed,slotblocked,377.30,westOuterSlot,oz,powerPlay,0,311,111452,80264,69.09301758,-21.87647247
pass,successful,stretch,389.30,outsideNorthEastDZ,dz,powerPlay,0,311,94531,80264,-60.16287231,-28.41470337
reception,successful,regular,392.37,northCenterNZ,nz,powerPlay,0,311,5814,80264,20.81066132,1.258823395
pass,successful,ozentry,392.50,northCenterNZ,nz,powerPlay,0,311,5814,80264,21.81649971,-1.255879998
reception,successful,ozentry,393.20,westPoint,oz,powerPlay,0,311,2546838,80264,39.92242813,-25.39705658
pass,successful,d2d,400.20,outsideNorthEastDZ,dz,powerPlay,0,311,5152,80264,-88.83052063,-7.794116974
reception,successful,regular,400.83,outsideNorthEastDZ,dz,powerPlay,0,311,6588,80264,-93.35697937,-3.26764679
pass,successful,outlet,403.53,outsideNorthWestDZ,dz,powerPlay,0,311,6588,80264,-64.68933105,30.42941284
reception,successful,regular,404.13,westPointDZ,dz,powerPlay,0,311,110409,80264,-42.05699158,37.47058868
pass,successful,d2d,404.17,westPointDZ,dz,powerPlay,0,311,110409,80264,-43.06286621,37.97352982
reception,successful,regular,405.97,outsideNorthEastDZ,dz,powerPlay,0,311,237838,80264,-72.23345947,-32.43823242
pass,successful,outlet,407.13,eastPointDZ,dz,powerPlay,0,311,237838,80264,-47.08639526,-37.46764374
reception,successful,regular,407.83,southCenterNZ,nz,powerPlay,0,311,6588,80264,-14.89816284,-18.85882187
pass,successful,ozentry,409.37,northWestBoardsNZ,nz,powerPlay,0,311,6588,80264,9.243011475,-28.91764832
reception,successful,ozentry,409.93,westPoint,oz,powerPlay,0,311,2546838,80264,26.8459549,-37.46764374
pass,successful,southoffboards,412.10,outsideNorthWest,oz,powerPlay,0,311,2546838,80264,69.5959549,-37.97058868
reception,successful,regular,413.33,westPoint,oz,powerPlay,0,311,6588,80264,31.87536621,-34.44999695
pass,successful,eastwest,415.87,centerPoint,oz,powerPlay,0,311,6588,80264,33.88713074,-0.752941132
reception,successful,regular,416.63,outsideNorthEast,oz,powerPlay,0,311,110409,80264,56.51948547,35.45882416
pass,successful,south,416.90,outsideNorthEast,oz,powerPlay,0,311,110409,80264,55.51360321,34.45294189
reception,successful,regular,417.50,centerPoint,oz,powerPlay,0,311,6588,80264,30.36654663,10.8147049
pass,successful,north,418.77,centerPoint,oz,powerPlay,0,311,6588,80264,32.37831116,4.276470184
reception,successful,regular,419.73,outsideNorthEast,oz,powerPlay,0,311,110409,80264,58.02830887,34.95588303
pass,successful,north,421.27,outsideNorthEast,oz,powerPlay,0,311,110409,80264,62.05183792,30.42941284
reception,successful,regular,421.97,outsideNorthEast,oz,powerPlay,0,311,5814,80264,66.07537079,38.97941208
shot,failed,outsideblocked,424.07,outsideNorthEast,oz,powerPlay,0,311,5814,80264,62.05183792,28.92058754
pass,successful,slot,426.23,outsideNorthEast,oz,powerPlay,0,311,5814,80264,74.12242889,37.97352982
reception,successful,regular,426.70,eastOuterSlot,oz,powerPlay,0,311,237838,80264,65.57242584,17.85588264
pass,successful,none,427.37,outsideNorthEast,oz,powerPlay,0,311,237838,80264,62.55477905,25.39999962
pass,successful,north,427.53,outsideNorthEast,oz,powerPlay,0,311,237838,80264,62.05183792,27.91470528
