eventname,outcome,type,compiledgametime,playsection,zone,manpowersituation,goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
reception,successful,regular,784.47,centerPointDZ,dz,evenStrength,0,315,400162,5152,-53.00675583,-1.258823395
pass,successful,d2doffboards,791.53,outsideNorthEastDZ,dz,evenStrength,0,311,5814,80264,-86.8187561,-31.43235016
reception,successful,regular,793.73,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-94.86581421,27.91470528
pass,successful,d2d,796.50,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-84.30404663,37.47058868
reception,successful,regular,797.13,outsideNorthWestDZ,dz,evenStrength,0,311,5814,80264,-71.22756958,34.45294189
pass,successful,north,800.20,southCenterNZ,nz,evenStrength,0,315,79380,5152,-21.82440186,-9.808822632
reception,successful,regular,800.93,southWestBoardsNZ,nz,evenStrength,0,315,400162,5152,-16.29205322,-31.4352932
pass,failed,stretchoffboards,801.87,eastPointDZ,dz,evenStrength,0,315,400162,5152,-37.41558075,-36.96764755
pass,successful,outlet,809.47,centerPointDZ,dz,evenStrength,0,311,80,80264,-51.10992432,9.3058815
reception,successful,regular,810.40,eastPointDZ,dz,evenStrength,0,311,94531,80264,-27.97463989,-39.98235321
